frame,time_sec,dribble_type,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,left_ankle_angle,right_ankle_angle,left_knee_velocity,right_knee_velocity,left_hip_velocity,right_hip_velocity,left_elbow_velocity,right_elbow_velocity,left_ankle_velocity,right_ankle_velocity,left_knee_load,right_knee_load,left_hip_load,right_hip_load,left_elbow_load,right_elbow_load,left_ankle_load,right_ankle_load,knee_asymmetry,hip_asymmetry,ankle_asymmetry,elbow_asymmetry,max_load,max_load_joint
26,0.8666666666666667,Unknown,155.52303753267424,148.40118528877537,107.5665016552919,107.09209828281871,107.61718625235163,108.67171495811094,166.39847227656256,176.35500869990204,161.7378847846632,207.35287673794232,41.229160937180325,222.93510734943098,713.1776705121466,118.88419117913145,42.93397316875115,135.9910085983313,3.347864689866731,6.8786696547670445,0.0,8.055007127157744,38.36525833930754,0.0,35.594718021583624,46.14974726469391,7.121852243898871,0.47440337247319064,9.956536423339486,1.05452870575931,46.14974726469391,right_ankle_load
27,0.9,Unknown,152.1519922612483,148.25335119306948,103.28368184714942,108.54214446705835,138.01711077833644,110.2102075501181,168.36223880245197,178.34258970998928,101.13135814277825,4.43502287117667,128.48459424427432,43.50138552718917,911.9977357795444,46.154777760214785,58.91299577668235,59.6274303026172,0.0,0.0,0.6898260150367763,0.0,47.07866584999497,0.0,37.66854425796793,47.220280098507104,3.8986410681788186,5.258462619908926,9.980350907537314,27.806903228218346,47.220280098507104,right_ankle_load
28,0.9333333333333333,Unknown,145.07331783614188,141.30112379314343,99.12384566860058,103.41428830872819,176.9573281178279,107.73187127048455,170.23735091651835,175.68878353414934,212.3602327531924,208.56682199778135,124.79508535646531,153.83568474990483,1168.2065201847436,74.35008838900657,56.25336342199148,79.6141852751984,7.258318072426606,6.970851199821071,0.3904432106339617,2.722733844562575,47.07866584999497,0.0,39.586394428553064,44.8334314782439,3.77219404299845,4.290442640127608,5.451432617630985,69.22545684734335,47.07866584999497,left_elbow_load
29,0.9666666666666667,Unknown,147.51412662335636,143.4906329562924,103.21415406553415,105.64393927724112,179.88192793387748,104.63582759341989,173.29611336464072,174.70480363260805,73.22426361643437,65.68527489446865,122.70925190800696,66.88952905538784,87.73799448148736,92.8813103119397,91.76287344367097,29.51939704623868,0.0,0.0,0.22079043649708696,0.0,0.0,0.0,42.58905507732885,43.92125901635878,4.023493667063974,2.429785211706971,1.40869026796733,75.24610034045759,43.92125901635878,right_ankle_load
30,1.0,Unknown,145.57417132684915,144.516735770606,100.661035080415,108.05370638763053,177.6181559621749,103.08393203011356,131.5292696818892,170.50432344775766,58.19865889521623,30.783084429408518,76.59356955357424,72.2930133116823,67.91315915107702,46.55686689918994,1253.0053104825458,126.01440554551175,0.0,0.0,0.0,0.0,0.0,0.0,47.07866584999497,40.149012136655884,1.0574355562431492,7.392671307215522,38.975053765868466,74.53422393206135,47.07866584999497,left_ankle_load
31,1.0333333333333334,Unknown,145.07251821110566,145.93406652351678,103.00347912393613,109.8600508947804,177.04687555621712,102.03638761038862,150.03855372260216,167.0189875586602,15.04959347230482,42.51992258732315,70.2733213056338,54.1903352144962,17.1384121787338,31.42633259174829,555.2785212213892,104.56007667292369,0.0,0.0,0.0,0.0,0.0,0.0,40.69233114757873,36.25735998190206,0.8615483124111165,6.856571770844269,16.98043383605804,75.0104879458285,40.69233114757873,left_ankle_load
32,1.0666666666666667,Unknown,146.24415526787743,142.1618332814563,103.60785091919777,107.65641140112388,160.83373915668605,99.00077490951188,156.0515930971432,163.39607715360057,35.14911170315315,113.1669972618144,18.131153857849256,66.10918480969573,486.394091985932,91.0683810263022,180.39118123623155,108.68731215178883,0.0,0.0,0.0,0.0,25.83834281244378,0.0,27.152119376295857,32.289885755267576,4.082321986421135,4.048560481926103,7.344484056457361,61.832964247174175,32.289885755267576,right_ankle_load
33,1.1,Unknown,151.45631838862207,141.86367503920496,107.7530388178638,108.39184231122887,136.51140196109532,97.7849451419851,157.5255580925229,159.8137206678954,156.36489362233903,8.94474726753998,124.3556369599807,22.06292730314985,729.670115867722,36.47489302580311,44.21894986139108,107.47069457115487,2.9232543583328052,0.0,0.3547243580896309,0.0,39.189022445516194,0.0,25.33006376329182,28.124064966845054,9.592643349417102,0.6388034933650744,2.288162575372496,38.72645681911021,39.189022445516194,left_elbow_load
34,1.1333333333333333,Unknown,152.46259411980122,141.6369129926913,108.49322624347371,108.39527049030191,139.28161407032292,97.20036778932538,160.00637354914906,159.1254657162853,30.188271935374758,6.802861395410105,22.20562276829753,0.10284537219121148,83.106363276828,17.53732057979164,74.4244636987844,20.647648548303152,0.0,0.0,0.0,0.0,0.0,0.0,28.354479950912438,27.29483524413583,10.825681127109931,0.09795575317180294,0.8809078328637554,42.08124628099753,28.354479950912438,left_ankle_load
35,1.1666666666666667,Unknown,155.5871448650516,142.5073027665148,110.95190053338253,108.85618558316312,139.55940189965915,96.09799724945823,161.85457970313394,159.3000841251736,93.73652235751166,26.111693214705554,73.76022869726441,13.827452785836414,8.333634880087004,33.07111619601457,55.44618461954627,5.238552266649208,0.0,0.0,0.0,0.0,0.0,0.0,30.527763986543377,27.506121976856114,13.079842098536801,2.095714950219403,2.5544955779603242,43.46140465020092,30.527763986543377,left_ankle_load
